diameter,class,sex_I,sex_M
0.365,15,False,True
0.265,7,False,True
0.42,9,False,False
0.365,10,False,True
0.255,7,True,False
0.3,8,True,False
0.415,20,False,False
0.425,16,False,False
0.37,9,False,True
0.44,19,False,False
0.38,14,False,False
0.355,10,False,False
0.4,12,False,True
0.28,7,True,False
0.295,7,False,True
0.48,10,False,False
0.445,12,False,True
0.475,15,False,True
0.425,11,False,True
0.47,10,False,True
0.56,15,False,False
0.55,19,False,False
0.55,13,False,False
0.355,8,False,True
0.475,16,False,False
0.355,8,False,False
0.445,11,False,False
0.29,9,False,True
0.335,9,False,False
0.425,14,False,False
0.175,5,True,False
0.15,5,True,False
0.295,7,True,False
0.37,9,False,True
0.375,7,False,False
0.245,6,True,False
0.425,9,False,False
0.41,8,True,False
0.32,7,False,True
0.36,10,False,False
0.4,8,False,False
0.19,4,True,False
0.4,7,False,False
0.345,7,False,True
0.325,7,False,True
0.355,8,False,True
0.495,13,False,False
0.235,6,True,False
0.425,13,False,True
0.32,8,False,False
0.475,20,False,False
0.475,15,False,False
0.475,9,False,True
0.425,11,False,False
0.445,9,False,False
0.51,12,False,True
0.425,16,False,False
0.45,14,False,True
0.465,12,False,False
0.355,9,False,False
0.45,12,False,False
0.425,15,False,True
0.44,12,False,True
0.465,13,False,True
0.56,15,False,True
0.535,14,False,True
0.435,9,False,True
0.375,8,False,True
0.37,7,False,True
0.435,15,False,True
0.435,15,False,True
0.415,10,False,True
0.47,12,False,True
0.41,12,False,False
0.43,11,False,False
0.4,10,False,False
0.39,9,False,False
0.395,9,False,False
0.395,9,False,True
0.36,9,False,True
0.32,9,True,False
0.35,9,False,True
0.41,11,False,False
0.415,11,False,False
0.375,11,False,False
0.43,9,False,False
0.305,8,False,True
0.365,9,False,False
0.425,14,False,False
0.265,6,False,True
0.28,6,True,False
0.195,5,True,False
0.535,19,False,True
0.54,18,False,True
0.35,9,False,False
0.26,7,True,False
0.2,7,True,False
0.33,8,False,False
0.23,7,False,False
0.255,9,False,True
