mcg,gvh,lip,chg,aac,alm2,class_im,class_imL,class_imS,class_imU,class_om,class_omL,class_pp
0.49,0.29,0.48,0.5,0.56,0.35,False,False,False,False,False,False,False
0.07,0.4,0.48,0.5,0.54,0.44,False,False,False,False,False,False,False
0.56,0.4,0.48,0.5,0.49,0.46,False,False,False,False,False,False,False
0.59,0.49,0.48,0.5,0.52,0.36,False,False,False,False,False,False,False
0.23,0.32,0.48,0.5,0.55,0.35,False,False,False,False,False,False,False
0.67,0.39,0.48,0.5,0.36,0.46,False,False,False,False,False,False,False
0.29,0.28,0.48,0.5,0.44,0.34,False,False,False,False,False,False,False
0.21,0.34,0.48,0.5,0.51,0.39,False,False,False,False,False,False,False
0.2,0.44,0.48,0.5,0.46,0.57,False,False,False,False,False,False,False
0.42,0.4,0.48,0.5,0.56,0.3,False,False,False,False,False,False,False
0.42,0.24,0.48,0.5,0.57,0.37,False,False,False,False,False,False,False
0.25,0.48,0.48,0.5,0.44,0.29,False,False,False,False,False,False,False
0.39,0.32,0.48,0.5,0.46,0.35,False,False,False,False,False,False,False
0.51,0.5,0.48,0.5,0.46,0.35,False,False,False,False,False,False,False
0.22,0.43,0.48,0.5,0.48,0.28,False,False,False,False,False,False,False
0.25,0.4,0.48,0.5,0.46,0.52,False,False,False,False,False,False,False
0.34,0.45,0.48,0.5,0.38,0.35,False,False,False,False,False,False,False
0.44,0.27,0.48,0.5,0.55,0.58,False,False,False,False,False,False,False
0.23,0.4,0.48,0.5,0.39,0.38,False,False,False,False,False,False,False
0.41,0.57,0.48,0.5,0.39,0.32,False,False,False,False,False,False,False
0.4,0.45,0.48,0.5,0.38,0.0,False,False,False,False,False,False,False
0.31,0.23,0.48,0.5,0.73,0.14,False,False,False,False,False,False,False
0.51,0.54,0.48,0.5,0.41,0.43,False,False,False,False,False,False,False
0.3,0.16,0.48,0.5,0.56,0.23,False,False,False,False,False,False,False
0.36,0.39,0.48,0.5,0.48,0.23,False,False,False,False,False,False,False
0.29,0.37,0.48,0.5,0.48,0.52,False,False,False,False,False,False,False
0.25,0.4,0.48,0.5,0.47,0.42,False,False,False,False,False,False,False
0.21,0.51,0.48,0.5,0.5,0.41,False,False,False,False,False,False,False
0.43,0.37,0.48,0.5,0.53,0.44,False,False,False,False,False,False,False
0.43,0.39,0.48,0.5,0.47,0.41,False,False,False,False,False,False,False
0.53,0.38,0.48,0.5,0.44,0.36,False,False,False,False,False,False,False
0.34,0.33,0.48,0.5,0.38,0.44,False,False,False,False,False,False,False
0.56,0.51,0.48,0.5,0.34,0.46,False,False,False,False,False,False,False
0.4,0.29,0.48,0.5,0.42,0.44,False,False,False,False,False,False,False
0.24,0.35,0.48,0.5,0.31,0.31,False,False,False,False,False,False,False
0.36,0.54,0.48,0.5,0.41,0.46,False,False,False,False,False,False,False
0.29,0.52,0.48,0.5,0.42,0.39,False,False,False,False,False,False,False
0.65,0.47,0.48,0.5,0.59,0.4,False,False,False,False,False,False,False
0.32,0.42,0.48,0.5,0.35,0.38,False,False,False,False,False,False,False
0.38,0.46,0.48,0.5,0.48,0.29,False,False,False,False,False,False,False
0.33,0.45,0.48,0.5,0.52,0.41,False,False,False,False,False,False,False
0.3,0.37,0.48,0.5,0.59,0.49,False,False,False,False,False,False,False
0.4,0.5,0.48,0.5,0.45,0.47,False,False,False,False,False,False,False
0.28,0.38,0.48,0.5,0.5,0.42,False,False,False,False,False,False,False
0.61,0.45,0.48,0.5,0.48,0.41,False,False,False,False,False,False,False
0.17,0.38,0.48,0.5,0.45,0.5,False,False,False,False,False,False,False
0.44,0.35,0.48,0.5,0.55,0.61,False,False,False,False,False,False,False
0.43,0.4,0.48,0.5,0.39,0.39,False,False,False,False,False,False,False
0.42,0.35,0.48,0.5,0.58,0.27,False,False,False,False,False,False,False
0.23,0.33,0.48,0.5,0.43,0.43,False,False,False,False,False,False,False
0.37,0.52,0.48,0.5,0.42,0.36,False,False,False,False,False,False,False
0.29,0.3,0.48,0.5,0.45,0.17,False,False,False,False,False,False,False
0.22,0.36,0.48,0.5,0.35,0.47,False,False,False,False,False,False,False
0.23,0.58,0.48,0.5,0.37,0.59,False,False,False,False,False,False,False
0.47,0.47,0.48,0.5,0.22,0.26,False,False,False,False,False,False,False
0.54,0.47,0.48,0.5,0.28,0.42,False,False,False,False,False,False,False
0.51,0.37,0.48,0.5,0.35,0.45,False,False,False,False,False,False,False
0.4,0.35,0.48,0.5,0.45,0.42,False,False,False,False,False,False,False
0.44,0.34,0.48,0.5,0.3,0.43,False,False,False,False,False,False,False
0.42,0.38,0.48,0.5,0.54,0.43,False,False,False,False,False,False,False
0.44,0.56,0.48,0.5,0.5,0.54,False,False,False,False,False,False,False
0.52,0.36,0.48,0.5,0.41,0.38,False,False,False,False,False,False,False
0.36,0.41,0.48,0.5,0.48,0.54,False,False,False,False,False,False,False
0.18,0.3,0.48,0.5,0.46,0.35,False,False,False,False,False,False,False
0.47,0.29,0.48,0.5,0.51,0.43,False,False,False,False,False,False,False
0.24,0.43,0.48,0.5,0.54,0.59,False,False,False,False,False,False,False
0.25,0.37,0.48,0.5,0.41,0.42,False,False,False,False,False,False,False
0.52,0.57,0.48,0.5,0.42,0.54,False,False,False,False,False,False,False
0.25,0.37,0.48,0.5,0.43,0.36,False,False,False,False,False,False,False
0.35,0.48,0.48,0.5,0.56,0.48,False,False,False,False,False,False,False
0.26,0.26,0.48,0.5,0.34,0.35,False,False,False,False,False,False,False
0.44,0.51,0.48,0.5,0.47,0.36,False,False,False,False,False,False,False
0.37,0.5,0.48,0.5,0.42,0.45,False,False,False,False,False,False,False
0.44,0.42,0.48,0.5,0.42,0.2,False,False,False,False,False,False,False
0.24,0.43,0.48,0.5,0.37,0.38,False,False,False,False,False,False,False
0.42,0.3,0.48,0.5,0.48,0.36,False,False,False,False,False,False,False
0.48,0.42,0.48,0.5,0.45,0.35,False,False,False,False,False,False,False
0.41,0.48,0.48,0.5,0.51,0.51,False,False,False,False,False,False,False
0.44,0.28,0.48,0.5,0.43,0.37,False,False,False,False,False,False,False
0.29,0.41,0.48,0.5,0.48,0.46,False,False,False,False,False,False,False
0.34,0.28,0.48,0.5,0.41,0.44,False,False,False,False,False,False,False
0.41,0.43,0.48,0.5,0.45,0.41,False,False,False,False,False,False,False
0.29,0.47,0.48,0.5,0.41,0.34,False,False,False,False,False,False,False
0.34,0.55,0.48,0.5,0.58,0.41,False,False,False,False,False,False,False
0.36,0.56,0.48,0.5,0.43,0.53,False,False,False,False,False,False,False
0.4,0.46,0.48,0.5,0.52,0.56,False,False,False,False,False,False,False
0.5,0.49,0.48,0.5,0.49,0.53,False,False,False,False,False,False,False
0.52,0.44,0.48,0.5,0.37,0.42,False,False,False,False,False,False,False
0.5,0.51,0.48,0.5,0.27,0.34,False,False,False,False,False,False,False
0.53,0.42,0.48,0.5,0.16,0.39,False,False,False,False,False,False,False
0.34,0.46,0.48,0.5,0.52,0.44,False,False,False,False,False,False,False
0.4,0.42,0.48,0.5,0.37,0.27,False,False,False,False,False,False,False
0.41,0.43,0.48,0.5,0.5,0.25,False,False,False,False,False,False,False
0.3,0.45,0.48,0.5,0.36,0.32,False,False,False,False,False,False,False
0.31,0.47,0.48,0.5,0.29,0.39,False,False,False,False,False,False,False
0.64,0.76,0.48,0.5,0.45,0.38,False,False,False,False,False,False,False
0.35,0.37,0.48,0.5,0.3,0.43,False,False,False,False,False,False,False
0.57,0.54,0.48,0.5,0.37,0.33,False,False,False,False,False,False,False
0.65,0.55,0.48,0.5,0.34,0.28,False,False,False,False,False,False,False
0.51,0.46,0.48,0.5,0.58,0.41,False,False,False,False,False,False,False
0.38,0.4,0.48,0.5,0.63,0.35,False,False,False,False,False,False,False
0.24,0.57,0.48,0.5,0.63,0.43,False,False,False,False,False,False,False
0.38,0.26,0.48,0.5,0.54,0.28,False,False,False,False,False,False,False
0.33,0.47,0.48,0.5,0.53,0.29,False,False,False,False,False,False,False
0.24,0.34,0.48,0.5,0.38,0.4,False,False,False,False,False,False,False
0.26,0.5,0.48,0.5,0.44,0.41,False,False,False,False,False,False,False
0.44,0.49,0.48,0.5,0.39,0.4,False,False,False,False,False,False,False
0.43,0.32,0.48,0.5,0.33,0.52,False,False,False,False,False,False,False
0.49,0.43,0.48,0.5,0.49,0.4,False,False,False,False,False,False,False
0.47,0.28,0.48,0.5,0.56,0.25,False,False,False,False,False,False,False
0.32,0.33,0.48,0.5,0.6,0.2,False,False,False,False,False,False,False
0.34,0.35,0.48,0.5,0.51,0.56,False,False,False,False,False,False,False
0.35,0.34,0.48,0.5,0.46,0.27,False,False,False,False,False,False,False
0.38,0.3,0.48,0.5,0.43,0.39,False,False,False,False,False,False,False
0.38,0.44,0.48,0.5,0.43,0.31,False,False,False,False,False,False,False
0.41,0.51,0.48,0.5,0.58,0.31,False,False,False,False,False,False,False
0.34,0.42,0.48,0.5,0.41,0.43,False,False,False,False,False,False,False
0.51,0.49,0.48,0.5,0.53,0.26,False,False,False,False,False,False,False
0.25,0.51,0.48,0.5,0.37,0.5,False,False,False,False,False,False,False
0.29,0.28,0.48,0.5,0.5,0.5,False,False,False,False,False,False,False
0.25,0.26,0.48,0.5,0.39,0.42,False,False,False,False,False,False,False
0.24,0.41,0.48,0.5,0.49,0.34,False,False,False,False,False,False,False
0.17,0.39,0.48,0.5,0.53,0.39,False,False,False,False,False,False,False
0.04,0.31,0.48,0.5,0.41,0.39,False,False,False,False,False,False,False
0.61,0.36,0.48,0.5,0.49,0.44,False,False,False,False,False,False,False
0.34,0.51,0.48,0.5,0.44,0.46,False,False,False,False,False,False,False
0.28,0.33,0.48,0.5,0.45,0.33,False,False,False,False,False,False,False
0.4,0.46,0.48,0.5,0.42,0.44,False,False,False,False,False,False,False
0.23,0.34,0.48,0.5,0.43,0.37,False,False,False,False,False,False,False
0.37,0.44,0.48,0.5,0.42,0.47,False,False,False,False,False,False,False
0.0,0.38,0.48,0.5,0.42,0.55,False,False,False,False,False,False,False
0.39,0.31,0.48,0.5,0.38,0.43,False,False,False,False,False,False,False
0.3,0.44,0.48,0.5,0.49,0.33,False,False,False,False,False,False,False
0.27,0.3,0.48,0.5,0.71,0.39,False,False,False,False,False,False,False
0.17,0.52,0.48,0.5,0.49,0.46,False,False,False,False,False,False,False
0.36,0.42,0.48,0.5,0.53,0.41,False,False,False,False,False,False,False
0.3,0.37,0.48,0.5,0.43,0.3,False,False,False,False,False,False,False
0.26,0.4,0.48,0.5,0.36,0.37,False,False,False,False,False,False,False
0.4,0.41,0.48,0.5,0.55,0.33,False,False,False,False,False,False,False
